,Unnamed: 0,X,x,y,Labels,Energy,Magnetization,Temp,Min_distance
2000,1199601,1199600,-17.5595816973556,0.0121424445528334,0,346,0.91,2.13333333333333,5.302334917957766
2001,1199602,1199601,17.2594828771526,0.348253906369897,1,314,0.83,2.13333333333333,4.430904755310925
2002,1199603,1199602,17.8605290171644,0.127416324224337,1,322,0.86,2.13333333333333,4.742298233234459
2003,1199604,1199603,-14.059979429338698,-2.8558059374947407,0,280,0.735,2.13333333333333,3.4030511439237965
2004,1199605,1199604,-16.1584386948142,-0.51399758771881,0,308,0.84,2.145,4.592908491351968
2005,1199606,1199605,18.859239361812,0.47558891590563296,1,358,0.91,2.145,5.221245909840302
2006,1199607,1199606,-15.458838922806802,0.25685588702150897,0,290,0.805,2.145,4.252935432387954
2007,1199608,1199607,14.4563572305929,1.9780319023893702,1,294,0.69,2.145,3.021227953670308
2008,1199609,1199608,-15.157747578746,1.113117145936,0,314,0.79,2.15666666666667,4.10077832793297
2009,1199610,1199609,16.7567139950271,-0.894631330050461,1,310,0.805,2.15666666666667,4.16296165768351
2010,1199611,1199610,-15.156875854997,1.9015200864937498,0,300,0.79,2.15666666666667,4.128124449758614
2011,1199612,1199611,-16.1587531544326,1.4104472495176297,0,306,0.84,2.15666666666667,4.606565469010937
2012,1199613,1199612,-17.059830112715098,0.175972471647043,0,324,0.885,2.1683333333333303,5.052672270803613
2013,1199614,1199613,-16.9594208964717,1.1755364884346,0,332,0.88,2.1683333333333303,5.002102376691782
2014,1199615,1199614,18.058067828564397,0.74037727546195,1,330,0.87,2.1683333333333303,4.812356535833234
2015,1199616,1199615,-17.159611746768,-0.0603200943951884,0,328,0.89,2.1683333333333303,5.102680560266885
2016,1199617,1199616,-15.5592124319816,-1.5431215635279298,0,304,0.81,2.18,4.197600396822744
2017,1199618,1199617,-16.859619423780302,-0.49072581059649,0,322,0.875,2.18,4.93617252936149
2018,1199619,1199618,-16.156843144366402,0.5476341374417399,0,334,0.84,2.18,4.603192860239606
2019,1199620,1199619,-16.5578156396316,2.01439898051467,0,322,0.86,2.18,4.830434070879516
2020,1199621,1199620,16.9588766551157,-0.326853031437552,1,290,0.815,2.19166666666667,4.294422240798583
2021,1199622,1199621,-16.4582752060265,2.30847579146147,0,324,0.855,2.19166666666667,4.7916428738897805
2022,1199623,1199622,-13.056197644279,1.74670517745594,0,284,0.685,2.19166666666667,3.07634857784045
2023,1199624,1199623,-16.459582292651902,-0.30328739840211,0,326,0.855,2.19166666666667,4.755889942594971
2024,1199625,1199624,12.8557650066132,-2.04781270830862,1,252,0.61,2.20333333333333,2.215009298976398
2025,1199626,1199625,-9.159709235529519,-4.20042134345532,0,302,0.49,2.20333333333333,1.1450883441992283
2026,1199627,1199626,15.3550561267123,-2.91208130048584,1,278,0.735,2.20333333333333,3.4529682935333788
2027,1199628,1199627,-16.259651837352,0.9483901359504359,0,314,0.845,2.20333333333333,4.650690879478358
2028,1199629,1199628,-14.259877276609199,-2.1728146923105203,0,276,0.745,2.215,3.5155168521267672
2029,1199630,1199629,-0.54488064029002,1.8080139040687502,2,244,0.06,2.215,3.5490050172139984
2030,1199631,1199630,14.2594564256293,0.18947960743293102,1,264,0.68,2.215,2.9584313974627277
2031,1199632,1199631,17.6569719201049,-0.925755477997176,1,332,0.85,2.215,4.610830843172204
2032,1199633,1199632,18.5592656807508,0.6881434443844971,1,334,0.895,2.2266666666666697,5.064079008462373
2033,1199634,1199633,18.360686811262,0.8138966079908879,1,328,0.885,2.2266666666666697,4.961415858014357
2034,1199635,1199634,13.6527672881042,-0.139631818715999,1,266,0.65,2.2266666666666697,2.66814830174891
2035,1199636,1199635,17.459619324206,-1.1613417161723,1,306,0.84,2.2266666666666697,4.505951000325363
2036,1199637,1199636,-11.152726574321802,1.5487766532706002,0,270,0.59,2.23833333333333,2.1201042209497087
2037,1199638,1199637,14.2583460738274,1.9493012434659498,1,292,0.68,2.23833333333333,2.9212454539198385
2038,1199639,1199638,16.3592261535135,0.0153421813678838,1,308,0.785,2.23833333333333,4.007348840765598
2039,1199640,1199639,-15.3553900076767,1.07492413662906,0,300,0.8,2.23833333333333,4.199195966453728
2040,1199641,1199640,-15.760067128438699,-0.416161993027334,0,304,0.82,2.25,4.4056237566051095
2041,1199642,1199641,19.1587405131858,-0.110368900829086,1,348,0.925,2.25,5.3988514501710885
2042,1199643,1199642,-15.0580130493461,1.30030808907498,0,306,0.785,2.25,4.054149367513166
2043,1199644,1199643,-10.1577839309439,0.356871863052764,0,264,0.54,2.25,1.6078527741229462
2044,1199645,1199644,-3.15143363594479,-1.1627912596485301,2,230,0.19,2.26166666666667,2.1259562310155933
2045,1199646,1199645,18.658316529715396,-0.885476704476034,1,330,0.9,2.26166666666667,5.111755823673901
2046,1199647,1199646,16.7572392682769,-0.339928010625752,1,296,0.805,2.26166666666667,4.193693806060268
2047,1199648,1199647,17.9595005819383,0.0454450675078372,1,336,0.865,2.26166666666667,4.796647411547149
2048,1199649,1199648,-11.7565794589363,0.369477256154685,0,272,0.62,2.2733333333333303,2.4054805393127023
2049,1199650,1199649,1.8529592930899,4.07886920561975,2,250,0.06,2.2733333333333303,3.434167464098208
2050,1199651,1199650,-14.854457165373,1.52720519307832,0,302,0.775,2.2733333333333303,3.9594556196609876
2051,1199652,1199651,15.8564101724055,-0.4010899064291839,1,312,0.76,2.2733333333333303,3.7436728288682297
2052,1199653,1199652,14.2567436559552,-0.29359340641695,1,266,0.68,2.285,2.9607469536485556
2053,1199654,1199653,-13.2575571155766,0.355828936061669,0,264,0.695,2.285,3.1545280867446834
2054,1199655,1199654,15.9566243527421,-1.02668661998251,1,280,0.765,2.285,3.759185210194356
2055,1199656,1199655,-10.758479533907499,-4.15139028112854,0,274,0.57,2.285,1.8829572216262742
2056,1199657,1199656,14.656960844058199,-0.6205987544324251,1,278,0.7,2.29666666666667,3.134292527296287
2057,1199658,1199657,16.757633881769,-0.6369346070983729,1,290,0.805,2.29666666666667,4.175311949417154
2058,1199659,1199658,-12.0573627380159,-3.0878273057171204,0,288,0.635,2.29666666666667,2.4066788516071074
2059,1199660,1199659,5.455328017672781,9.430124825380501,2,238,0.24,2.29666666666667,1.7067195624365246
