"","X","x","y","Energy","Magnetization","Temp","Labels"
"408001",408000,-35.6544432690566,-0.136646289436048,1516,0.9675,1.9,0
"409442",409441,39.980863839199,-1.32565446730929,1402,0.9175,1.9,1
"410883",410882,-34.2014386129233,-1.47549386958249,1444,0.93125,1.9,0
"412324",412323,-34.2012271271648,-0.392826945289636,1414,0.93125,1.9,0
"414001",414000,-34.7035472993706,0.064979736885344,1444,0.94375,1.9,0
"415442",415441,40.9333030508116,-0.847711377596873,1450,0.94125,1.9,1
"416883",416882,-33.9486345120514,0.192070229188747,1424,0.925,1.9,0
"418324",418323,-35.2527125459075,-0.101310687171521,1486,0.9575,1.9,0
"420001",420000,-35.1529517192888,0.539631774660441,1482,0.955,1.9,0
"421442",421441,40.7338913235463,-0.380468580276651,1448,0.93625,1.9,1
"422883",422882,-34.9021173974959,0.527945341788903,1464,0.94875,1.9,0
"424324",424323,-34.602611671053,-0.475178036854915,1454,0.94125,1.9,0
"426001",426000,-32.9968565353458,-0.113181932420311,1376,0.90125,1.9,0
"427442",427441,41.6375780831213,0.169259546048234,1484,0.95875,1.9,1
"428883",428882,-34.5020956865708,-0.00578219165405699,1436,0.93875,1.9,0
"430324",430323,-34.8537792562283,-0.644295627840331,1456,0.9475,1.9,0
"432001",432000,-35.3543091386688,0.388865453229359,1490,0.96,1.9,0
"433442",433441,41.4857909954717,-0.143410068641268,1482,0.955,1.9,1
"434883",434882,-33.7513264377822,0.858623699346594,1446,0.92,1.9,0
"436324",436323,-34.6518571408726,-0.106553745570873,1456,0.9425,1.9,0
"438001",438000,-35.2535003721437,0.596168982158159,1476,0.9575,1.9,0
"439442",439441,40.534897100377,-0.124213705660603,1426,0.93125,1.9,1
"440883",440882,-34.0497305514817,0.0757171251170873,1446,0.9275,1.9,0
"442324",442323,-34.8513444300247,-0.493999151912646,1468,0.9475,1.9,0
"444001",444000,-33.5975058334024,-1.3013893145072,1392,0.91625,1.9,0
"445442",445441,40.5827538857915,0.352299345426344,1428,0.9325,1.9,1
"446883",446882,-34.9022184343271,-0.116699271224559,1456,0.94875,1.9,0
"448324",448323,-33.8485007909975,1.83798563048635,1426,0.9225,1.9,0
"450001",450000,-34.5007018467319,-0.441801223878114,1438,0.93875,1.9,0
"451442",451441,40.6855059683168,-0.229888327330824,1432,0.935,1.9,1
"452883",452882,-34.7519422364163,-0.619568448197479,1458,0.945,1.9,0
"454324",454323,-34.503132710891,0.19069935599825,1442,0.93875,1.9,0
"456001",456000,-33.6480361797119,0.523210606938326,1390,0.9175,1.9,0
"457442",457441,40.3834128353545,-0.21435556678904,1408,0.9275,1.9,1
"458883",458882,-34.2010279065576,0.236317900492031,1416,0.93125,1.9,0
"460324",460323,-34.6033996259802,-0.484382783760852,1454,0.94125,1.9,0
"462001",462000,-34.4508814746049,-0.189091399657734,1436,0.9375,1.9,0
"463442",463441,40.1817051205886,1.30450667147279,1418,0.9225,1.9,1
"464883",464882,-35.0528773164372,0.297830511900487,1478,0.9525,1.9,0
"466324",466323,-34.5534214656244,-0.00681850342267415,1442,0.94,1.9,0
"468001",468000,-34.95292224572,0.765325108195644,1466,0.95,1.9,0
"469442",469441,40.6828016720922,0.860079669397179,1450,0.935,1.9,1
"470883",470882,-34.4517186613549,0.274060838560836,1428,0.9375,1.9,0
"472324",472323,-34.5531522680257,-0.411678767957269,1448,0.94,1.9,0
"474001",474000,-35.3538143908666,-0.284124759525213,1490,0.96,1.9,0
"475442",475441,41.3864209502963,-0.258243010178739,1480,0.9525,1.9,1
"476883",476882,-35.0037720942499,-0.329320256304337,1480,0.95125,1.9,0
"478324",478323,-35.3036232260244,-0.229024775519122,1484,0.95875,1.9,0
"480001",480000,-34.2517019796284,-0.238643485807976,1420,0.9325,1.9,0
"481442",481441,41.0340247099335,-0.0848740030279895,1462,0.94375,1.9,1
"482883",482882,-34.2493010697506,-0.475756195073102,1460,0.9325,1.9,0
"484324",484323,-35.3536998193838,-0.29870136200117,1482,0.96,1.9,0
"486001",486000,-35.3037524540099,-0.00800642416437341,1478,0.95875,1.9,0
"487442",487441,41.2856523328134,-0.464582108332511,1464,0.95,1.9,1
"488883",488882,-33.9992754344648,-0.01435312831387,1408,0.92625,1.9,0
"490324",490323,-36.0063876226835,0.464247530844417,1526,0.97625,1.9,0
"492001",492000,-34.9517595573104,0.459530228500705,1460,0.95,1.9,0
"493442",493441,40.8815543451024,-0.155942333340683,1492,0.94,1.9,1
"494883",494882,-34.6523541368813,0.517247583591499,1440,0.9425,1.9,0
"496324",496323,-35.2541404329734,0.339198283810624,1480,0.9575,1.9,0
"498001",498000,-32.2955849924366,-1.6667589096911,1354,0.88375,1.9,0
"499442",499441,40.5322304360616,0.446460944075771,1460,0.93125,1.9,1
"500883",500882,-34.5514964383535,0.628108723502239,1458,0.94,1.9,0
"502324",502323,-34.1000727419771,-0.368734268338856,1436,0.92875,1.9,0
"504001",504000,-33.1946075334819,-0.570469869522768,1384,0.90625,1.9,0
"505442",505441,41.7362250718142,-0.618686361336882,1506,0.96125,1.9,1
"506883",506882,-34.4005955994388,1.3993207509427,1466,0.93625,1.9,0
"508324",508323,-33.9992724864001,-0.496988867956872,1416,0.92625,1.9,0
"510001",510000,-34.5005776976684,-0.611513952449921,1436,0.93875,1.9,0
"511442",511441,40.9330768187201,-0.155467432143993,1450,0.94125,1.9,1
"512883",512882,-34.3543901193166,-1.47511815853477,1464,0.935,1.9,0
"514324",514323,-34.5514828229441,-1.34601342102351,1458,0.94,1.9,0
"516001",516000,-34.0490649801052,-0.383949525082289,1438,0.9275,1.9,0
"517442",517441,41.7869298556882,0.605352315929986,1504,0.9625,1.9,1
"518883",518882,-35.1540976428578,-0.133046195195522,1466,0.955,1.9,0
"520324",520323,-35.303366818449,0.306280156142772,1482,0.95875,1.9,0
"522001",522000,-34.9033289120163,0.532167989728452,1470,0.94875,1.9,0
"523442",523441,40.1821542368011,-0.345398677211883,1418,0.9225,1.9,1
"524883",524882,-34.7529807369712,0.261446084174252,1456,0.945,1.9,0
"526324",526323,-34.3002442384562,0.412954598951808,1424,0.93375,1.9,0
"528001",528000,-33.5468686556244,-0.471996464996295,1414,0.915,1.9,0
"529442",529441,41.1339573512351,-0.411760799556901,1452,0.94625,1.9,1
"530883",530882,-33.494115856639,0.135504470442918,1426,0.91375,1.9,0
"532324",532323,-33.9492645022226,-1.03292029847054,1422,0.925,1.9,0
"534001",534000,-34.2509617601636,0.832559339971593,1432,0.9325,1.9,0
"535442",535441,41.0840723834388,0.675066745864265,1464,0.945,1.9,1
"536883",536882,-35.0535691399048,0.634641466068509,1490,0.9525,1.9,0
"538324",538323,-34.0988464786364,0.155777044926028,1420,0.92875,1.9,0
"540001",540000,-33.7478873553931,-0.99045225066469,1412,0.92,1.9,0
"541442",541441,40.8843722882129,0.243054614705118,1442,0.94,1.9,1
"542883",542882,-34.4007035888037,-0.376352265897661,1434,0.93625,1.9,0
"544324",544323,-32.7466940366912,-0.718400939737381,1376,0.895,1.9,0
