"","X","x","y","Labels","Energy","Magnetization","Temp"
"1196747",1196746,16.6598418128211,-2.21425104323578,1,308,0.8,2.20333333333333
"1196748",1196747,-17.5601764392387,-0.66080551344634,0,350,0.91,2.20333333333333
"1196749",1196748,-17.3598209703241,-0.639841191536283,0,340,0.9,2.215
"1196750",1196749,10.8567375215642,-2.59454199486847,1,262,0.51,2.215
"1196751",1196750,18.8589619664842,-0.990099590193913,1,350,0.91,2.215
"1196752",1196751,17.2581797974524,-0.0214921044664625,1,320,0.83,2.215
"1196753",1196752,16.4594621813009,1.64173643090198,1,306,0.79,2.22666666666667
"1196754",1196753,14.0586526620358,-0.709368730970571,1,286,0.67,2.22666666666667
"1196755",1196754,14.5569221339656,-1.56889034064771,1,284,0.695,2.22666666666667
"1196756",1196755,16.6591931587657,-0.49225617237617,1,288,0.8,2.22666666666667
"1196757",1196756,-17.2605823956326,-0.494900807374401,0,332,0.895,2.23833333333333
"1196758",1196757,18.4601839472816,0.766356221103422,1,334,0.89,2.23833333333333
"1196759",1196758,10.7519241761501,-0.831311570081914,1,266,0.505,2.23833333333333
"1196760",1196759,-17.9596577241537,0.570812950320937,0,350,0.93,2.23833333333333
"1196761",1196760,-16.6591591208007,0.05680087703387,0,330,0.865,2.25
"1196762",1196761,18.3587807138063,0.611516916339546,1,320,0.885,2.25
"1196763",1196762,-15.0601197663072,-0.656704034014233,0,308,0.785,2.25
"1196764",1196763,-17.9601866322385,0.461104093691868,0,350,0.93,2.25
"1196765",1196764,-2.05682008182056,-5.42480119074245,2,258,0.135,2.26166666666667
"1196766",1196765,17.2580117931299,0.282654919744016,1,328,0.83,2.26166666666667
"1196767",1196766,13.2563422749497,2.15550246713521,1,276,0.63,2.26166666666667
"1196768",1196767,15.2587601338587,1.79898856559156,1,272,0.73,2.26166666666667
"1196769",1196768,-14.7609663454523,-3.35054235970711,0,292,0.77,2.27333333333333
"1196770",1196769,5.95273450000346,4.95532649868745,2,260,0.265,2.27333333333333
"1196771",1196770,-9.65701950626715,-3.75147447942377,0,300,0.515,2.27333333333333
"1196772",1196771,12.0581473420902,-2.02131528740551,1,280,0.57,2.27333333333333
"1196773",1196772,17.7584435086739,-0.180795301219952,1,306,0.855,2.285
"1196774",1196773,-14.1592232409144,-1.05161638081816,0,284,0.74,2.285
"1196775",1196774,16.3585714132424,0.668019921873457,1,280,0.785,2.285
"1196776",1196775,-1.5528934877285,0.797303582314438,2,224,0.11,2.285
"1196777",1196776,14.3595601558028,1.26363676122161,1,274,0.685,2.29666666666667
"1196778",1196777,16.2581447479595,0.890781366882201,1,296,0.78,2.29666666666667
"1196779",1196778,-12.9589872891248,-1.9413051093385,0,302,0.68,2.29666666666667
"1196780",1196779,9.35920729561866,7.81473361995986,1,256,0.435,2.29666666666667
"1196781",1196780,5.55147038152383,-2.53895187707485,2,230,0.245,2.30833333333333
"1196782",1196781,-14.2596197680002,-1.41445855361946,0,296,0.745,2.30833333333333
"1196783",1196782,10.2513802439732,-4.15243389125768,1,284,0.48,2.30833333333333
"1196784",1196783,-13.6577456920826,3.50465700732338,0,296,0.715,2.30833333333333
"1196785",1196784,-15.760162369199,1.97564573719103,0,312,0.82,2.32
"1196786",1196785,6.2530363015353,-2.51723862824622,2,212,0.28,2.32
"1196787",1196786,16.2581449364375,-0.243104559404621,1,270,0.78,2.32
"1196788",1196787,17.8579931665379,-1.28362184865641,1,312,0.86,2.32
"1196789",1196788,10.0534931612568,-1.12851901141075,1,238,0.47,2.33166666666667
"1196790",1196789,15.6573457868371,-1.64949707253086,1,278,0.75,2.33166666666667
"1196791",1196790,-9.5514828471205,2.36180066905393,0,268,0.51,2.33166666666667
"1196792",1196791,8.24850014001424,-4.43789562840717,2,240,0.38,2.33166666666667
"1196793",1196792,-14.1601328556947,-1.35176078567953,0,282,0.74,2.34333333333333
"1196794",1196793,5.55731693259751,7.16719971599467,2,206,0.245,2.34333333333333
"1196795",1196794,16.6589212235774,-0.653648311356814,1,298,0.8,2.34333333333333
"1196796",1196795,9.65277298953198,-8.48552104523801,1,264,0.45,2.34333333333333
"1196797",1196796,-14.757850114229,0.665801278936595,0,272,0.77,2.355
"1196798",1196797,12.5554239283014,0.577483019338015,1,258,0.595,2.355
"1196799",1196798,-9.65739501458216,2.4239364289155,0,250,0.515,2.355
"1196800",1196799,-13.256920359657,3.42922677913192,0,296,0.695,2.355
"1196801",1196800,15.1535410306481,-2.10807449819964,1,282,0.725,2.36666666666667
"1196802",1196801,1.947680975153,-4.79663399438654,2,238,0.065,2.36666666666667
"1196803",1196802,-10.1614022116056,-2.58499941537442,0,256,0.54,2.36666666666667
"1196804",1196803,1.95047066630026,0.289603621481335,2,238,0.065,2.36666666666667
"1196805",1196804,11.0544345599389,1.58242089036469,1,230,0.52,2.37833333333333
"1196806",1196805,-14.0597322538034,-2.21793031405319,0,298,0.735,2.37833333333333
"1196807",1196806,5.7562428198146,1.67532967990087,2,226,0.255,2.37833333333333
"1196808",1196807,-15.0592137165845,1.49347347112834,0,282,0.785,2.37833333333333
"1196809",1196808,-13.1583199608309,2.79319072924244,0,250,0.69,2.39
"1196810",1196809,17.0594496283486,-0.759005961014291,1,298,0.82,2.39
"1196811",1196810,-1.66068920744985,-9.47078303964618,2,254,0.115,2.39
"1196812",1196811,0.947383429504351,0.537928699406402,2,236,0.015,2.39
"1196813",1196812,7.85406421082331,2.11069397518326,2,234,0.36,2.40166666666667
"1196814",1196813,11.3575285584571,-3.25157689617763,1,256,0.535,2.40166666666667
"1196815",1196814,10.1537348351054,4.56629877286388,1,252,0.475,2.40166666666667
"1196816",1196815,-3.55718301160555,-0.183317483662657,2,222,0.21,2.40166666666667
"1196817",1196816,-5.25653854620479,-5.91960672683691,2,230,0.295,2.41333333333333
"1196818",1196817,-12.0561144021904,1.24122981128217,0,250,0.635,2.41333333333333
"1196819",1196818,-11.7584483049888,2.06821863543961,0,264,0.62,2.41333333333333
"1196820",1196819,-10.7560468529959,-2.63603179087698,0,296,0.57,2.41333333333333
"1196821",1196820,4.54811906934184,-6.57026839646282,2,224,0.195,2.425
"1196822",1196821,14.3539048258989,1.00631667884277,1,260,0.685,2.425
"1196823",1196822,10.1545415848154,-1.03478314486276,1,218,0.475,2.425
"1196824",1196823,-10.8565412016872,2.17557790133392,0,252,0.575,2.425
"1196825",1196824,-3.95247749531999,-3.19994398702941,2,214,0.23,2.43666666666667
"1196826",1196825,12.5537108122835,-2.73823840398065,1,242,0.595,2.43666666666667
"1196827",1196826,-0.948391739058559,-1.34265908464307,2,236,0.08,2.43666666666667
"1196828",1196827,-12.4568515001357,1.95694510691463,0,252,0.655,2.43666666666667
"1196829",1196828,9.75809930052632,0.516759052644522,1,238,0.455,2.44833333333333
"1196830",1196829,0.256955310944359,10.6562551004323,2,214,0.02,2.44833333333333
"1196831",1196830,11.859211217193,1.73358348406053,1,258,0.56,2.44833333333333
"1196832",1196831,12.9565814364504,-0.429738920189918,1,238,0.615,2.44833333333333
"1196833",1196832,-6.95628793574994,-0.0477925903545926,2,232,0.38,2.46
"1196834",1196833,8.45346462601028,0.32293447465491,2,228,0.39,2.46
"1196835",1196834,-1.05771742199965,-4.98036430534132,2,198,0.085,2.46
"1196836",1196835,12.6550536926228,1.27653507382701,1,258,0.6,2.46
"1196837",1196836,-8.35001438062996,4.47080779235256,0,230,0.45,2.47166666666667
"1196838",1196837,6.75104787671374,3.07076896533051,2,206,0.305,2.47166666666667
"1196839",1196838,14.2570008801055,1.80017741898086,1,280,0.68,2.47166666666667
"1196840",1196839,-3.55306508972437,-4.49326313231535,2,242,0.21,2.47166666666667
"1196841",1196840,9.05879458632556,1.54434372747381,1,220,0.42,2.48333333333333
"1196842",1196841,5.34596927017652,-3.16173434913635,2,238,0.235,2.48333333333333
"1196843",1196842,-8.45305145091596,2.45906903495176,0,204,0.455,2.48333333333333
"1196844",1196843,-14.0582882658414,-1.12398877457249,0,266,0.735,2.48333333333333
"1196845",1196844,6.14994585398993,-4.17298386783613,2,210,0.275,2.495
"1196846",1196845,7.55722907058445,1.14636882599363,2,206,0.345,2.495
"1196847",1196846,12.4558439849753,-1.31299033451723,1,238,0.59,2.495
"1196848",1196847,6.65828197761757,9.69329332299605,2,220,0.3,2.495
"1196849",1196848,0.853786941277847,1.41308710435106,2,214,0.01,2.50666666666667
"1196850",1196849,12.0537689917565,-1.62803303463916,1,244,0.57,2.50666666666667
"1196851",1196850,10.7514811430777,-1.70811203205024,1,230,0.505,2.50666666666667
"1196852",1196851,-1.15105344873217,2.24813145764,2,230,0.09,2.50666666666667
"1196853",1196852,-5.85928181064323,-6.48016600601745,2,224,0.325,2.51833333333333
"1196854",1196853,4.75787736844377,1.09098443080718,2,192,0.205,2.51833333333333
"1196855",1196854,13.3604174208136,5.21827410236515,1,264,0.635,2.51833333333333
"1196856",1196855,5.85113792031158,-1.0563841179486,2,208,0.26,2.51833333333333
"1196857",1196856,12.1564003966992,-2.15978547928228,1,250,0.575,2.53
"1196858",1196857,-7.35277195452841,7.2188056479308,0,256,0.4,2.53
"1196859",1196858,-2.44798724689885,0.610036531778312,2,200,0.155,2.53
"1196860",1196859,4.64649194563515,-3.7605325174166,2,196,0.2,2.53
"1196861",1196860,-8.55376853313825,2.02398575230444,0,210,0.46,2.54166666666667
"1196862",1196861,-2.35532485470843,-0.693169546052797,2,214,0.15,2.54166666666667
"1196863",1196862,2.85261659108567,5.62792078108089,2,216,0.11,2.54166666666667
"1196864",1196863,5.95482530926098,1.35165044756116,2,210,0.265,2.54166666666667
"1196865",1196864,-7.65330334566611,-1.05547067215501,0,208,0.415,2.55333333333333
"1196866",1196865,1.3438346444671,-5.46060583456665,2,214,0.035,2.55333333333333
"1196867",1196866,9.95303148328376,0.240124057877323,1,208,0.465,2.55333333333333
"1196868",1196867,-7.45471237205662,0.414906802010399,0,196,0.405,2.55333333333333
"1196869",1196868,9.756044166047,-3.02879119509152,1,232,0.455,2.565
"1196870",1196869,13.0570025342702,-0.186362847393857,1,224,0.62,2.565
"1196871",1196870,-2.25232885475725,5.21755683806696,2,232,0.145,2.565
"1196872",1196871,5.44781104360509,-1.27207272902841,2,212,0.24,2.565
"1196873",1196872,-5.3535183313869,3.59750689275446,2,210,0.3,2.57666666666667
"1196874",1196873,9.45798233034262,-1.25518051014023,1,196,0.44,2.57666666666667
"1196875",1196874,8.95352036945567,2.99088294373649,1,196,0.415,2.57666666666667
"1196876",1196875,11.256187500242,-1.7818223243351,1,220,0.53,2.57666666666667
"1196877",1196876,1.95511170122916,4.88246650565311,2,200,0.065,2.58833333333333
"1196878",1196877,-9.55130414048405,1.28821057190351,0,230,0.51,2.58833333333333
"1196879",1196878,-2.54912377911851,2.41852680798779,2,204,0.16,2.58833333333333
"1196880",1196879,-1.95357839688995,4.10393432739803,2,224,0.13,2.58833333333333
"1196881",1196880,-18.359940990123,0.0875498812139011,0,364,0.95,1.9
"1196882",1196881,16.5585817555799,1.23003126232995,1,314,0.795,1.9
"1196883",1196882,19.0596195635278,-0.495694049489646,1,346,0.92,1.9
"1196884",1196883,18.9596068203675,0.790556810153648,1,340,0.915,1.9
"1196885",1196884,-17.5594072808385,-0.359226711909159,0,344,0.91,1.91166666666667
"1196886",1196885,19.0597770605645,-0.19334994464754,1,352,0.92,1.91166666666667
"1196887",1196886,19.3604396012815,0.679226983400988,1,356,0.935,1.91166666666667
"1196888",1196887,19.6597594505304,0.556219119637689,1,376,0.95,1.91166666666667
"1196889",1196888,-17.4607534610803,-1.69491448283611,0,346,0.905,1.92333333333333
"1196890",1196889,18.1587195250883,1.02023851054826,1,330,0.875,1.92333333333333
"1196891",1196890,-17.0607977658425,-0.0473975324263092,0,342,0.885,1.92333333333333
"1196892",1196891,-17.8593019041948,0.00166554545094443,0,350,0.925,1.92333333333333
"1196893",1196892,-18.4598135332895,0.290004784994096,0,370,0.955,1.935
"1196894",1196893,19.1600217710522,0.163458024509061,1,354,0.925,1.935
"1196895",1196894,18.45776022756,0.164787013506558,1,370,0.89,1.935
"1196896",1196895,-17.0602775887951,-1.04275521683722,0,348,0.885,1.935
"1196897",1196896,-17.9594719079751,1.26098227209993,0,362,0.93,1.94666666666667
"1196898",1196897,19.4600593060871,0.772359922316256,1,364,0.94,1.94666666666667
"1196899",1196898,18.1583174594502,-0.354592491935793,1,328,0.875,1.94666666666667
"1196900",1196899,-16.5570872268502,2.05098502836046,0,342,0.86,1.94666666666667
"1196901",1196900,-16.6598511404011,-0.563587422847419,0,334,0.865,1.95833333333333
"1196902",1196901,19.0579449368687,-0.415708309391649,1,350,0.92,1.95833333333333
"1196903",1196902,18.0582054031667,0.323344414734363,1,328,0.87,1.95833333333333
"1196904",1196903,-18.7605920140865,-0.213213251498852,0,376,0.97,1.95833333333333
"1196905",1196904,-15.5593321749473,0.977452786185804,0,320,0.81,1.97
"1196906",1196905,19.1596441266808,-0.988149098071934,1,352,0.925,1.97
"1196907",1196906,-18.7610175629454,0.465130115191792,0,380,0.97,1.97
"1196908",1196907,-18.0608315263454,-0.451006999644496,0,364,0.935,1.97
"1196909",1196908,-16.9584803450403,0.376208573113649,0,328,0.88,1.98166666666667
"1196910",1196909,18.5595518424706,0.45305815025228,1,340,0.895,1.98166666666667
"1196911",1196910,19.2585745530354,-0.415772412066326,1,356,0.93,1.98166666666667
"1196912",1196911,17.9605736894931,1.87522271200147,1,340,0.865,1.98166666666667
"1196913",1196912,-18.6608574762731,-0.814953091364956,0,376,0.965,1.99333333333333
"1196914",1196913,19.4604044389809,1.06455697625631,1,360,0.94,1.99333333333333
"1196915",1196914,-17.3610139272954,-0.459168512699308,0,336,0.9,1.99333333333333
"1196916",1196915,-17.7605693261365,-0.41414082881815,0,346,0.92,1.99333333333333
"1196917",1196916,-18.1608687290573,-0.958733979878296,0,366,0.94,2.005
"1196918",1196917,19.9598626462408,-0.540605027849269,1,376,0.965,2.005
"1196919",1196918,-18.1599326437403,0.523702966312823,0,358,0.94,2.005
